,irrigation_scheduling_method_standardized,plant_yield_kg_per_hectare,latitude_decimal_degrees,longitude_decimal_degrees,altitude_numeric,plant_type_standardized_to_10,soil_type_standardized,water_productivity_kg_per_m^3,doi_url,processed_at,relevance_score
67,Deficit/Partial Irrigation,21.899696,8.4,39.35,1563.0,Legumes_Grains,sandy clay loams,0.584,https://doi.org/10.3390/su151310503,2025-09-12 04:23:00,9.0
68,Deficit/Partial Irrigation,20.20564,8.4,39.35,1563.0,Legumes_Grains,sandy clay loams,0.5349999999999999,https://doi.org/10.3390/su151310503,2025-09-12 04:23:00,9.0
69,Deficit/Partial Irrigation,14.62188,8.4,39.35,1563.0,Legumes_Grains,sandy clay loams,0.404,https://doi.org/10.3390/su151310503,2025-09-12 04:23:00,9.0
203,Evapotranspiration-Based,3384.3,-22.7284,-47.6492,526.0,Soybean,sandy loams,8.594532012939453,https://doi.org/10.18011/bioeng2016v10n3p305-315,2025-09-12 04:53:56,9.0
204,Deficit/Partial Irrigation,2626.0,-22.7284,-47.6492,526.0,Soybean,sandy loams,8.594532012939453,https://doi.org/10.18011/bioeng2016v10n3p305-315,2025-09-12 04:53:56,9.0
205,Deficit/Partial Irrigation,3042.8,-22.7284,-47.6492,526.0,Soybean,sandy loams,8.594532012939453,https://doi.org/10.18011/bioeng2016v10n3p305-315,2025-09-12 04:53:56,9.0
206,Deficit/Partial Irrigation,2736.5,-22.7284,-47.6492,526.0,Soybean,sandy loams,8.594532012939453,https://doi.org/10.18011/bioeng2016v10n3p305-315,2025-09-12 04:53:56,9.0
207,Deficit/Partial Irrigation,3087.4,-22.7284,-47.6492,526.0,Soybean,sandy loams,8.594532012939453,https://doi.org/10.18011/bioeng2016v10n3p305-315,2025-09-12 04:53:56,9.0
208,Deficit/Partial Irrigation,1956.8,-22.7284,-47.6492,526.0,Soybean,sandy loams,8.594532012939453,https://doi.org/10.18011/bioeng2016v10n3p305-315,2025-09-12 04:53:56,9.0
209,Deficit/Partial Irrigation,2388.0,-22.7284,-47.6492,526.0,Soybean,sandy loams,8.594532012939453,https://doi.org/10.18011/bioeng2016v10n3p305-315,2025-09-12 04:53:56,9.0
210,Deficit/Partial Irrigation,2271.3,-22.7284,-47.6492,526.0,Soybean,sandy loams,8.594532012939453,https://doi.org/10.18011/bioeng2016v10n3p305-315,2025-09-12 04:53:56,9.0
211,Deficit/Partial Irrigation,2228.0,-22.7284,-47.6492,526.0,Soybean,sandy loams,8.594532012939453,https://doi.org/10.18011/bioeng2016v10n3p305-315,2025-09-12 04:53:56,9.0
212,Deficit/Partial Irrigation,2968.7,-22.7284,-47.6492,526.0,Soybean,sandy loams,8.594532012939453,https://doi.org/10.18011/bioeng2016v10n3p305-315,2025-09-12 04:53:56,9.0
213,Deficit/Partial Irrigation,1224.8,-22.7284,-47.6492,526.0,Soybean,sandy loams,8.594532012939453,https://doi.org/10.18011/bioeng2016v10n3p305-315,2025-09-12 04:53:56,9.0
214,Evapotranspiration-Based,4037.2,-22.7284,-47.6492,526.0,Soybean,sandy loams,8.594532012939453,https://doi.org/10.18011/bioeng2016v10n3p305-315,2025-09-12 04:53:56,9.0
215,Conventional/Fixed Scheduling,6899.0,-22.195833333333333,-54.92167,446.0,Vegetables,clay,8.594532012939453,https://doi.org/10.13083/reveng.v27i5.979,2025-09-12 04:57:35,8.0
216,Conventional/Fixed Scheduling,9731.43,-22.195833333333333,-54.92167,446.0,Vegetables,clay,8.84350872039795,https://doi.org/10.13083/reveng.v27i5.979,2025-09-12 04:57:35,8.0
217,Soil Moisture-Based,24040.4025,-21.23333333333333,-45.0,918.0,Vegetables,clay,9.71,https://doi.org/10.5433/1679-0359.2016v37n1p7,2025-09-12 04:58:40,9.0
222,Deficit/Partial Irrigation,3772.07523,31.0,30.9,5.0,Wheat,clay,8.594532012939453,https://doi.org/10.1038/s41598-020-59650-8,2025-09-12 05:06:10,8.0
223,Evapotranspiration-Based,4672.00275,31.0,30.9,5.0,Wheat,clay,8.594532012939453,https://doi.org/10.1038/s41598-020-59650-8,2025-09-12 05:06:10,8.0
224,Deficit/Partial Irrigation,2672.56701,31.3,31.2,3.0,Wheat,clay,8.594532012939453,https://doi.org/10.1038/s41598-020-59650-8,2025-09-12 05:06:10,8.0
225,Evapotranspiration-Based,3532.57839,31.3,31.2,3.0,Wheat,clay,8.594532012939453,https://doi.org/10.1038/s41598-020-59650-8,2025-09-12 05:06:10,8.0
226,Deficit/Partial Irrigation,2125.534455,31.4,31.5,3.0,Wheat,clay,8.594532012939453,https://doi.org/10.1038/s41598-020-59650-8,2025-09-12 05:06:10,8.0
227,Evapotranspiration-Based,2676.19575,31.4,31.5,3.0,Wheat,clay,8.594532012939453,https://doi.org/10.1038/s41598-020-59650-8,2025-09-12 05:06:10,8.0
228,Evapotranspiration-Based,4456.7,29.3982985,71.6910248,116.0,Fibers_Oilseeds,sandy loams,0.493,https://doi.org/10.1007/s11356-021-15259-6,2025-09-12 05:12:17,9.0
229,Evapotranspiration-Based,2958.7,29.3982985,71.6910248,116.0,Fibers_Oilseeds,sandy loams,0.563,https://doi.org/10.1007/s11356-021-15259-6,2025-09-12 05:12:17,9.0
230,Evapotranspiration-Based,4248.3,29.3982985,71.6910248,116.0,Fibers_Oilseeds,sandy loams,0.404,https://doi.org/10.1007/s11356-021-15259-6,2025-09-12 05:12:17,9.0
231,Evapotranspiration-Based,2863.7,29.3982985,71.6910248,116.0,Fibers_Oilseeds,sandy loams,0.481,https://doi.org/10.1007/s11356-021-15259-6,2025-09-12 05:12:17,9.0
232,Evapotranspiration-Based,3707.0,29.3982985,71.6910248,116.0,Fibers_Oilseeds,sandy loams,8.594532012939453,https://doi.org/10.1007/s11356-021-15259-6,2025-09-12 05:12:17,9.0
233,Conventional/Fixed Scheduling,4808.080499999999,38.71666666666667,-1.4666666666666666,820.0,Vines,loamy sands,6.81,https://doi.org/10.1007/s00271-022-00795-x,2025-09-12 05:15:05,9.0
234,Conventional/Fixed Scheduling,7983.228,38.71666666666667,-1.4666666666666666,820.0,Vines,loamy sands,5.12,https://doi.org/10.1007/s00271-022-00795-x,2025-09-12 05:15:05,9.0
235,Conventional/Fixed Scheduling,7620.354,38.71666666666667,-1.4666666666666666,820.0,Vines,loamy sands,3.53,https://doi.org/10.1007/s00271-022-00795-x,2025-09-12 05:15:05,9.0
236,Conventional/Fixed Scheduling,7620.354,38.71666666666667,-1.4666666666666666,820.0,Vines,loamy sands,4.04,https://doi.org/10.1007/s00271-022-00795-x,2025-09-12 05:15:05,9.0
237,Conventional/Fixed Scheduling,7166.7615,38.71666666666667,-1.4666666666666666,820.0,Vines,loamy sands,3.98,https://doi.org/10.1007/s00271-022-00795-x,2025-09-12 05:15:05,9.0
238,Conventional/Fixed Scheduling,6441.013499999999,38.71666666666667,-1.4666666666666666,820.0,Vines,loamy sands,4.03,https://doi.org/10.1007/s00271-022-00795-x,2025-09-12 05:15:05,9.0
239,Deficit/Partial Irrigation,70564.0,-13.258055555555556,-43.55194444444444,441.0,Perennials,sandy clay loams,9.26,https://doi.org/10.1038/s41598-021-90078-w,2025-09-12 05:19:54,9.0
240,Deficit/Partial Irrigation,89933.0,-13.258055555555556,-43.55194444444444,441.0,Perennials,sandy clay loams,9.08,https://doi.org/10.1038/s41598-021-90078-w,2025-09-12 05:19:54,9.0
241,Deficit/Partial Irrigation,70253.0,-13.258055555555556,-43.55194444444444,441.0,Perennials,sandy clay loams,9.22,https://doi.org/10.1038/s41598-021-90078-w,2025-09-12 05:19:54,9.0
242,Deficit/Partial Irrigation,84453.0,-13.258055555555556,-43.55194444444444,441.0,Perennials,sandy clay loams,8.52,https://doi.org/10.1038/s41598-021-90078-w,2025-09-12 05:19:54,9.0
243,Deficit/Partial Irrigation,67594.0,-13.258055555555556,-43.55194444444444,441.0,Perennials,sandy clay loams,8.87,https://doi.org/10.1038/s41598-021-90078-w,2025-09-12 05:19:54,9.0
244,Deficit/Partial Irrigation,71837.0,-13.258055555555556,-43.55194444444444,441.0,Perennials,sandy clay loams,7.25,https://doi.org/10.1038/s41598-021-90078-w,2025-09-12 05:19:54,9.0
245,Conventional/Fixed Scheduling,70058.0,-13.258055555555556,-43.55194444444444,441.0,Perennials,sandy clay loams,9.19,https://doi.org/10.1038/s41598-021-90078-w,2025-09-12 05:19:54,9.0
246,Conventional/Fixed Scheduling,71467.0,-13.258055555555556,-43.55194444444444,441.0,Perennials,sandy clay loams,7.21,https://doi.org/10.1038/s41598-021-90078-w,2025-09-12 05:19:54,9.0
247,Evapotranspiration-Based,96218.0,-13.258055555555556,-43.55194444444444,441.0,Perennials,sandy clay loams,6.31,https://doi.org/10.1038/s41598-021-90078-w,2025-09-12 05:19:54,9.0
248,Deficit/Partial Irrigation,60464.0,-15.129722,-43.95013888888889,551.0,Perennials,sandy loams,7.16,https://doi.org/10.1038/s41598-021-90078-w,2025-09-12 05:19:54,9.0
249,Deficit/Partial Irrigation,60948.0,-15.129722,-43.95013888888889,551.0,Perennials,sandy loams,7.22,https://doi.org/10.1038/s41598-021-90078-w,2025-09-12 05:19:54,9.0
250,Deficit/Partial Irrigation,54200.0,-15.129722,-43.95013888888889,551.0,Perennials,sandy loams,6.42,https://doi.org/10.1038/s41598-021-90078-w,2025-09-12 05:19:54,9.0
251,Conventional/Fixed Scheduling,59977.0,-15.129722,-43.95013888888889,551.0,Perennials,sandy loams,7.1,https://doi.org/10.1038/s41598-021-90078-w,2025-09-12 05:19:54,9.0
252,Evapotranspiration-Based,78542.0,-15.129722,-43.95013888888889,551.0,Perennials,sandy loams,4.83,https://doi.org/10.1038/s41598-021-90078-w,2025-09-12 05:19:54,9.0
253,Deficit/Partial Irrigation,12030.0,30.187,31.69388888888889,74.0,Legumes_Grains,sandy clay loams,5.536,https://doi.org/10.17159/wsa/2020.v46.i4.9070,2025-09-12 05:35:59,9.0
254,Deficit/Partial Irrigation,10827.0,30.187,31.69388888888889,74.0,Legumes_Grains,sandy clay loams,4.862,https://doi.org/10.17159/wsa/2020.v46.i4.9070,2025-09-12 05:35:59,9.0
255,Deficit/Partial Irrigation,10693.0,30.187,31.69388888888889,74.0,Legumes_Grains,sandy clay loams,3.967,https://doi.org/10.17159/wsa/2020.v46.i4.9070,2025-09-12 05:35:59,9.0
256,Deficit/Partial Irrigation,10559.0,30.187,31.69388888888889,74.0,Legumes_Grains,sandy clay loams,3.967,https://doi.org/10.17159/wsa/2020.v46.i4.9070,2025-09-12 05:35:59,9.0
257,Deficit/Partial Irrigation,12364.0,30.187,31.69388888888889,74.0,Legumes_Grains,sandy clay loams,5.65,https://doi.org/10.17159/wsa/2020.v46.i4.9070,2025-09-12 05:35:59,9.0
258,Deficit/Partial Irrigation,10893.0,30.187,31.69389,74.0,Legumes_Grains,sandy clay loams,4.821,https://doi.org/10.17159/wsa/2020.v46.i4.9070,2025-09-12 05:35:59,9.0
259,Deficit/Partial Irrigation,10827.0,30.187,31.69388888888889,74.0,Legumes_Grains,sandy clay loams,3.977,https://doi.org/10.17159/wsa/2020.v46.i4.9070,2025-09-12 05:35:59,9.0
260,Deficit/Partial Irrigation,10893.0,30.187,31.69388888888889,74.0,Legumes_Grains,sandy clay loams,4.821,https://doi.org/10.17159/wsa/2020.v46.i4.9070,2025-09-12 05:35:59,9.0
261,Deficit/Partial Irrigation,10827.0,30.186944444444443,31.69388888888889,74.0,Legumes_Grains,sandy clay loams,3.977,https://doi.org/10.17159/wsa/2020.v46.i4.9070,2025-09-12 05:35:59,9.0
262,Deficit/Partial Irrigation,17281.87425,80.748611,39.79694444444444,1112.0,Vegetables,sandy loams,3.19,https://doi.org/10.7176/jnsr/12-4-01,2025-09-12 05:36:56,9.0
263,Deficit/Partial Irrigation,16701.275849999998,80.748611,39.79694444444444,1112.0,Vegetables,sandy loams,3.07,https://doi.org/10.7176/jnsr/12-4-01,2025-09-12 05:36:56,9.0
264,Deficit/Partial Irrigation,15186.276899999995,80.748611,39.79694444444444,1112.0,Vegetables,sandy loams,2.8,https://doi.org/10.7176/jnsr/12-4-01,2025-09-12 05:36:56,9.0
265,Deficit/Partial Irrigation,14351.6667,80.748611,390.7969444444444,1112.0,Vegetables,sandy loams,2.75,https://doi.org/10.7176/jnsr/12-4-01,2025-09-12 05:36:56,9.0
266,Deficit/Partial Irrigation,13979.72085,80.748611,39.79694444444444,1112.0,Vegetables,sandy loams,2.74,https://doi.org/10.7176/jnsr/12-4-01,2025-09-12 05:36:56,9.0
267,Evapotranspiration-Based,26308.365,-17.7,31.066666666666663,1479.0,Vegetables,sandy clay loams,25.4,https://doi.org/10.17159/wsa/2023.v49.i4.3935,2025-09-12 05:40:13,9.0
268,Deficit/Partial Irrigation,25582.617,-17.7,31.066666666666663,1479.0,Vegetables,sandy clay loams,29.2,https://doi.org/10.17159/wsa/2023.v49.i4.3935,2025-09-12 05:40:13,9.0
269,Deficit/Partial Irrigation,25582.617,-17.7,31.066666666666663,1479.0,Vegetables,sandy clay loams,29.8,https://doi.org/10.17159/wsa/2023.v49.i4.3935,2025-09-12 05:40:13,9.0
270,Deficit/Partial Irrigation,23042.499,-17.7,31.066666666666663,1479.0,Vegetables,sandy clay loams,27.4,https://doi.org/10.17159/wsa/2023.v49.i4.3935,2025-09-12 05:40:13,9.0
271,Evapotranspiration-Based,71214.02249999999,-17.7,31.066666666666663,1479.0,Vegetables,sandy clay loams,38.8,https://doi.org/10.17159/wsa/2023.v49.i4.3935,2025-09-12 05:40:13,9.0
272,Deficit/Partial Irrigation,48352.9605,-17.7,31.066666666666663,1479.0,Vegetables,sandy clay loams,33.1,https://doi.org/10.17159/wsa/2023.v49.i4.3935,2025-09-12 05:40:13,9.0
273,Deficit/Partial Irrigation,43000.569,-17.7,31.066666666666663,1479.0,Vegetables,sandy clay loams,39.2,https://doi.org/10.17159/wsa/2023.v49.i4.3935,2025-09-12 05:40:13,9.0
274,Deficit/Partial Irrigation,35652.3705,-17.7,31.066666666666663,1479.0,Vegetables,sandy clay loams,38.9,https://doi.org/10.17159/wsa/2023.v49.i4.3935,2025-09-12 05:40:13,9.0
275,Evapotranspiration-Based,61688.58,-17.7,31.066666666666663,1479.0,Vegetables,sandy clay loams,39.1,https://doi.org/10.17159/wsa/2023.v49.i4.3935,2025-09-12 05:40:13,9.0
276,Deficit/Partial Irrigation,52616.73,-17.7,31.066666666666663,1479.0,Vegetables,sandy clay loams,39.2,https://doi.org/10.17159/wsa/2023.v49.i4.3935,2025-09-12 05:40:13,9.0
277,Deficit/Partial Irrigation,45722.124,-17.7,31.066666666666663,1479.0,Vegetables,sandy clay loams,40.0,https://doi.org/10.17159/wsa/2023.v49.i4.3935,2025-09-12 05:40:13,9.0
278,Deficit/Partial Irrigation,41367.636,-17.7,31.066666666666663,1479.0,Vegetables,sandy clay loams,40.0,https://doi.org/10.17159/wsa/2023.v49.i4.3935,2025-09-12 05:40:13,9.0
279,Evapotranspiration-Based,35652.3705,-17.7,31.066666666666663,1479.0,Vegetables,sandy clay loams,27.1,https://doi.org/10.17159/wsa/2023.v49.i4.3935,2025-09-12 05:40:13,9.0
280,Deficit/Partial Irrigation,20955.9735,-17.7,31.066666666666663,1479.0,Vegetables,sandy clay loams,21.2,https://doi.org/10.17159/wsa/2023.v49.i4.3935,2025-09-12 05:40:13,9.0
281,Deficit/Partial Irrigation,15966.456,-17.7,31.066666666666663,1479.0,Vegetables,sandy clay loams,36.7,https://doi.org/10.17159/wsa/2023.v49.i4.3935,2025-09-12 05:40:13,9.0
282,Deficit/Partial Irrigation,9434.724,-17.7,31.066666666666663,1479.0,Vegetables,sandy clay loams,29.7,https://doi.org/10.17159/wsa/2023.v49.i4.3935,2025-09-12 05:40:13,9.0
283,Deficit/Partial Irrigation,6831.10305,34.333333333333336,108.4,466.7,Wheat,sandy clay loams,2.326,https://doi.org/10.3389/fpls.2017.01408,2025-09-12 06:08:21,9.0
284,Deficit/Partial Irrigation,6413.79795,34.333333333333336,108.4,466.7,Wheat,sandy clay loams,2.2510000000000003,https://doi.org/10.3389/fpls.2017.01408,2025-09-12 06:08:21,9.0
285,Deficit/Partial Irrigation,4055.11695,34.333333333333336,108.4,466.7,Wheat,sandy clay loams,1.505,https://doi.org/10.3389/fpls.2017.01408,2025-09-12 06:08:21,9.0
286,Deficit/Partial Irrigation,6223.2891,34.333333333333336,108.4,466.7,Wheat,sandy clay loams,1.4220000000000002,https://doi.org/10.3389/fpls.2017.01408,2025-09-12 06:08:21,9.0
287,Deficit/Partial Irrigation,5824.1277,34.333333333333336,108.4,466.7,Wheat,sandy clay loams,1.385,https://doi.org/10.3389/fpls.2017.01408,2025-09-12 06:08:21,9.0
288,Deficit/Partial Irrigation,3556.1652,34.333333333333336,108.4,466.7,Wheat,sandy clay loams,0.93,https://doi.org/10.3389/fpls.2017.01408,2025-09-12 06:08:21,9.0
289,Deficit/Partial Irrigation,7066.971149999999,34.333333333333336,108.4,466.7,Wheat,sandy clay loams,2.343,https://doi.org/10.3389/fpls.2017.01408,2025-09-12 06:08:21,9.0
290,Deficit/Partial Irrigation,6005.5647,34.333333333333336,108.4,466.7,Wheat,sandy clay loams,2.035,https://doi.org/10.3389/fpls.2017.01408,2025-09-12 06:08:21,9.0
291,Deficit/Partial Irrigation,4463.3502,34.333333333333336,108.4,466.7,Wheat,sandy clay loams,1.585,https://doi.org/10.3389/fpls.2017.01408,2025-09-12 06:08:21,9.0
292,Deficit/Partial Irrigation,6341.22315,34.333333333333336,108.4,466.7,Wheat,sandy clay loams,1.624,https://doi.org/10.3389/fpls.2017.01408,2025-09-12 06:08:21,9.0
293,Deficit/Partial Irrigation,5207.2419,34.333333333333336,108.4,466.7,Wheat,sandy clay loams,1.355,https://doi.org/10.3389/fpls.2017.01408,2025-09-12 06:08:21,9.0
294,Deficit/Partial Irrigation,3492.66225,34.333333333333336,108.4,466.7,Wheat,sandy clay loams,1.022,https://doi.org/10.3389/fpls.2017.01408,2025-09-12 06:08:21,9.0
300,Conventional/Fixed Scheduling,2549.0,30.09,74.55,211.0,Fibers_Oilseeds,loamy sands,0.458,https://doi.org/10.1016/j.agwat.2022.107982,2025-09-12 14:23:48,9.0
301,Conventional/Fixed Scheduling,2183.0,30.09,74.55,211.0,Fibers_Oilseeds,loamy sands,0.395,https://doi.org/10.1016/j.agwat.2022.107982,2025-09-12 14:23:48,9.0
302,Conventional/Fixed Scheduling,2040.0,30.09,74.55,211.0,Fibers_Oilseeds,loamy sands,0.376,https://doi.org/10.1016/j.agwat.2022.107982,2025-09-12 14:23:48,9.0
303,Conventional/Fixed Scheduling,1719.0,30.09,74.55,211.0,Fibers_Oilseeds,loamy sands,0.319,https://doi.org/10.1016/j.agwat.2022.107982,2025-09-12 14:23:48,9.0
304,Deficit/Partial Irrigation,2216.0,30.09,74.55,211.0,Fibers_Oilseeds,loamy sands,0.399,https://doi.org/10.1016/j.agwat.2022.107982,2025-09-12 14:23:48,9.0
305,Deficit/Partial Irrigation,2530.0,30.09,74.55,211.0,Fibers_Oilseeds,loamy sands,0.457,https://doi.org/10.1016/j.agwat.2022.107982,2025-09-12 14:23:48,9.0
306,Deficit/Partial Irrigation,2491.0,30.09,74.55,211.0,Fibers_Oilseeds,loamy sands,0.449,https://doi.org/10.1016/j.agwat.2022.107982,2025-09-12 14:23:48,9.0
307,Deficit/Partial Irrigation,2227.0,30.09,74.55,211.0,Fibers_Oilseeds,loamy sands,0.402,https://doi.org/10.1016/j.agwat.2022.107982,2025-09-12 14:23:48,9.0
308,Deficit/Partial Irrigation,1883.0,30.09,74.55,211.0,Fibers_Oilseeds,loamy sands,0.349,https://doi.org/10.1016/j.agwat.2022.107982,2025-09-12 14:23:48,9.0
309,Deficit/Partial Irrigation,1996.0,30.09,74.55,211.0,Fibers_Oilseeds,loamy sands,0.368,https://doi.org/10.1016/j.agwat.2022.107982,2025-09-12 14:23:48,9.0
310,Deficit/Partial Irrigation,1939.0,30.09,74.55,211.0,Fibers_Oilseeds,loamy sands,0.357,https://doi.org/10.1016/j.agwat.2022.107982,2025-09-12 14:23:48,9.0
311,Deficit/Partial Irrigation,1699.0,30.09,74.55,211.0,Fibers_Oilseeds,loamy sands,0.315,https://doi.org/10.1016/j.agwat.2022.107982,2025-09-12 14:23:48,9.0
312,Evapotranspiration-Based,2500.0,22.7775,-47.2958,560.0,Soybean,sandy loams,0.78,https://doi.org/10.1016/j.agwat.2024.108709,2025-09-12 14:24:35,10.0
313,Soil Moisture-Based,3500.0,22.7775,-47.2958,560.0,Soybean,sandy loams,0.61,https://doi.org/10.1016/j.agwat.2024.108709,2025-09-12 14:24:35,10.0
314,Soil Moisture-Based,3000.0,22.7775,-47.2958,560.0,Soybean,sandy loams,0.61,https://doi.org/10.1016/j.agwat.2024.108709,2025-09-12 14:24:35,10.0
